section,s_amount,s_score
Bade,489,5
Daxi,283,9
Dayuan,313,8
Fuxing,0,11
Guanyin,0,11
Guishan,455,6
Longtan,372,7
Luzhu,120,10
Pingzhen,535,3
Taoyuan,1132,2
Xinwu,0,11
Yangmei,526,4
Zhongli,1938,1
