section,m_amount,m_score
Bade,2,6
Daxi,2,6
Dayuan,2,6
Fuxing,0,1
Guanyin,0,1
Guishan,2,6
Longtan,1,3
Luzhu,2,6
Pingzhen,1,3
Taoyuan,3,11
Xinwu,1,3
Yangmei,3,11
Zhongli,3,11
