section,h_amount,h_score
Bade,20,9
Daxi,11,6
Dayuan,5,2
Fuxing,5,2
Guanyin,3,1
Guishan,13,7
Longtan,10,5
Luzhu,13,7
Pingzhen,29,10
Taoyuan,120,12
Xinwu,7,4
Yangmei,32,11
Zhongli,121,13
