section,a_amount,a_score
Bade,2168,3
Daxi,849,10
Dayuan,963,9
Fuxing,30,13
Guanyin,311,12
Guishan,2156,4
Longtan,1136,7
Luzhu,1390,6
Pingzhen,2029,5
Taoyuan,4859,2
Xinwu,340,11
Yangmei,1114,8
Zhongli,5217,1
