section,l_amount,l_score
Bade,3,7
Daxi,2,4
Dayuan,2,4
Fuxing,0,1
Guanyin,3,7
Guishan,4,10
Longtan,1,2
Luzhu,4,10
Pingzhen,2,4
Taoyuan,6,13
Xinwu,1,2
Yangmei,3,7
Zhongli,4,10
